date,prop
2021-10-01,0.271567430702853
2021-10-02,0.227723230689881
2021-10-03,0.276703157399897
2021-10-04,0.181538673678296
2021-10-05,0.165563323313836
2021-10-06,0.278005353483022
2021-10-07,0.221386459028581
2021-10-08,0.15384527518123
2021-10-09,0.210256925811991
2021-10-10,0.203146739481599
2021-10-11,0.178039943010081
2021-10-12,0.260578027744777
2021-10-13,0.192465359934722
2021-10-14,0.171797260651365
2021-10-15,0.261145741716027
2021-10-16,0.251575885496568
2021-10-17,0.278389488167013
2021-10-18,0.277322554009734
2021-10-19,0.24049560971267
2021-10-20,0.221653645610204
2021-10-21,0.160216427394188
2021-10-22,0.247331217785831
2021-10-23,0.218666136373649
2021-10-24,0.160905826077797
2021-10-25,0.157167277032277
2021-10-26,0.146345453989925
2021-10-27,0.153761694894056
2021-10-28,0.243720467163948
2021-10-29,0.208620755924494
2021-10-30,0.227849472484086
2021-10-31,0.250732068151556
2021-11-01,0.267935423818778
2021-11-02,0.283479927731876
2021-11-03,0.315730495517403
2021-11-04,0.358045236782551
2021-11-05,0.311973171322471
2021-11-06,0.337443637567479
2021-11-07,0.363792068232333
2021-11-08,0.413106836036486
2021-11-09,0.435802240173843
2021-11-10,0.456173867198655
2021-11-11,0.498680929272639
2021-11-12,0.485279017474224
2021-11-13,0.475279227718128
2021-11-14,0.52182879929113
2021-11-15,0.569076827905986
2021-11-16,0.588214271429033
2021-11-17,0.59263735410277
2021-11-18,0.608278197318852
2021-11-19,0.579765275589549
2021-11-20,0.667254292309628
2021-11-21,0.674768872561743
2021-11-22,0.644796327576307
2021-11-23,0.588310269489221
2021-11-24,0.598490877619052
2021-11-25,0.684268872559157
2021-11-26,0.592733432749512
2021-11-27,0.559812975380786
2021-11-28,0.54523151439845
2021-11-29,0.498653481903542
2021-11-30,0.529500575840174
2021-12-01,0.563067655039975
2021-12-02,0.530083832026174
2021-12-03,0.550907679099483
2021-12-04,0.494862982670384
2021-12-05,0.54081027998446
2021-12-06,0.511555914596739
2021-12-07,0.426069399579098
2021-12-08,0.436921512544207
2021-12-09,0.400048118595412
2021-12-10,0.360794772466521
2021-12-11,0.327552211310209
2021-12-12,0.294766361095012
2021-12-13,0.275311035166646
2021-12-14,0.245106936619483
2021-12-15,0.216644835053112
2021-12-16,0.236810221151703
2021-12-17,0.201349651662244
2021-12-18,0.170848701375683
2021-12-19,0.160936843533339
2021-12-20,0.121870551530551
2021-12-21,0.131540560644054
2021-12-22,0.096081559438754
2021-12-23,0.109098889572308
2021-12-24,0.0796569025304735
2021-12-25,0.0900977252981662
2021-12-26,0.066023091803325
2021-12-27,0.0701544402297438
2021-12-28,0.0465384462824389
2021-12-29,0.0322847788333777
2021-12-30,0.0337612808611729
2021-12-31,0.0217071666494819
