date,VOC,proportion
2021-08-29,Omicron,0
2021-08-29,Delta,0.995463611121974
2021-08-29,Others,0.00453638887802588
2021-08-30,Omicron,0
2021-08-30,Delta,0.996005623308991
2021-08-30,Others,0.00399437669100922
2021-08-31,Omicron,0
2021-08-31,Delta,0.996443797577342
2021-08-31,Others,0.00355620242265775
2021-09-01,Omicron,0
2021-09-01,Delta,0.996787030474074
2021-09-01,Others,0.00321296952592631
2021-09-02,Omicron,0
2021-09-02,Delta,0.997044218546224
2021-09-02,Others,0.00295578145377562
2021-09-03,Omicron,0
2021-09-03,Delta,0.997224258340838
2021-09-03,Others,0.00277574165916172
2021-09-04,Omicron,0
2021-09-04,Delta,0.997336046404956
2021-09-04,Others,0.0026639535950439
2021-09-05,Omicron,0
2021-09-05,Delta,0.99738847928562
2021-09-05,Others,0.00261152071438031
2021-09-06,Omicron,0
2021-09-06,Delta,0.997390694440151
2021-09-06,Others,0.00260930555984917
2021-09-07,Omicron,0
2021-09-07,Delta,0.997354093035548
2021-09-07,Others,0.0026459069644521
2021-09-08,Omicron,0
2021-09-08,Delta,0.997291316550326
2021-09-08,Others,0.00270868344967412
2021-09-09,Omicron,0
2021-09-09,Delta,0.997215019167253
2021-09-09,Others,0.00278498083274659
2021-09-10,Omicron,0
2021-09-10,Delta,0.997137855069099
2021-09-10,Others,0.00286214493090098
2021-09-11,Omicron,0
2021-09-11,Delta,0.99707247843863
2021-09-11,Others,0.00292752156136944
2021-09-12,Omicron,0
2021-09-12,Delta,0.997031543458617
2021-09-12,Others,0.002968456541383
2021-09-13,Omicron,0
2021-09-13,Delta,0.997027410231895
2021-09-13,Others,0.00297258976810477
2021-09-14,Omicron,0
2021-09-14,Delta,0.997063978769848
2021-09-14,Others,0.00293602123015235
2021-09-15,Omicron,0
2021-09-15,Delta,0.997135623246731
2021-09-15,Others,0.00286437675326923
2021-09-16,Omicron,0
2021-09-16,Delta,0.997236209666681
2021-09-16,Others,0.00276379033331897
2021-09-17,Omicron,0
2021-09-17,Delta,0.997359604033834
2021-09-17,Others,0.00264039596616616
2021-09-18,Omicron,0
2021-09-18,Delta,0.997499672352326
2021-09-18,Others,0.00250032764767383
2021-09-19,Omicron,0
2021-09-19,Delta,0.997650280626294
2021-09-19,Others,0.00234971937370643
2021-09-20,Omicron,0
2021-09-20,Delta,0.997805294899496
2021-09-20,Others,0.00219470510050412
2021-09-21,Omicron,0
2021-09-21,Delta,0.997958591939064
2021-09-21,Others,0.00204140806093622
2021-09-22,Omicron,0
2021-09-22,Delta,0.998104073693468
2021-09-22,Others,0.00189592630653201
2021-09-23,Omicron,0
2021-09-23,Delta,0.998235645721961
2021-09-23,Others,0.00176435427803923
2021-09-24,Omicron,0
2021-09-24,Delta,0.998347213583792
2021-09-24,Others,0.00165278641620792
2021-09-25,Omicron,0
2021-09-25,Delta,0.998432682838213
2021-09-25,Others,0.00156731716178737
2021-09-26,Omicron,0
2021-09-26,Delta,0.998485959044474
2021-09-26,Others,0.0015140409555261
2021-09-27,Omicron,0
2021-09-27,Delta,0.998500947761826
2021-09-27,Others,0.0014990522381737
2021-09-28,Omicron,0
2021-09-28,Delta,0.998473421329976
2021-09-28,Others,0.00152657867002437
2021-09-29,Omicron,0
2021-09-29,Delta,0.9984089732206
2021-09-29,Others,0.00159102677939993
2021-09-30,Omicron,0
